,Task_ID_x,Task,Job_Title,Function,Answer_17,Answer_18,Answer_19,Answer_20,Answer_21,EPOCH_ml,avg_epoch
5334,6446,observe and evaluate students work to determine progress provide feedback and make suggestions for improvement,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5335,6447,present lectures and conduct discussions to increase students knowledge and competence using visual aids such as graphs charts videotapes and slides,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,4,4,-1.0538500700792128,3.8
5338,6452,provide individualized instruction and tutorial or remedial instruction,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5340,6454,develop curricula and plan course content and methods of instruction,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,3,4,4,-0.5191236321500025,3.4
5341,6451,determine training needs of students or workers,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,3,-0.8745325892310554,3.4
5342,6450,supervise independent or group projects field placements laboratory work or other training,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5343,6456,integrate academic and vocational curricula so that students can obtain a variety of skills,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5345,6453,conduct onthejob training classes or training sessions to teach and demonstrate principles techniques procedures or methods of designated subjects,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,4,-1.0195857604222283,3.6
5347,6455,prepare outlines of instructional programs and training schedules and establish course goals,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,3,4,4,-0.5191236321500025,3.4
5348,6459,advise students on course selection career decisions and other academic and vocational concerns,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5354,6466,teach basic skills such as color shape number and letter recognition personal hygiene and social skills,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5355,6467,establish and enforce rules for behavior and procedures for maintaining order,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5356,6478,adapt teaching methods and instructional materials to meet students varying needs and interests,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5357,6464,provide a variety of materials and resources for children to explore manipulate and use both in learning activities and in imaginative play,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,4,4,-1.0538500700792128,3.8
5360,6472,meet with parents and guardians to discuss their childrens progress and needs determine their priorities for their children and suggest ways that they can promote learning and development,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5361,6469,organize and lead activities designed to promote physical mental and social development such as games arts and crafts music storytelling and field trips,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5362,6471,identify children showing signs of emotional developmental or healthrelated problems and discuss them with supervisors parents or guardians and child development specialists,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5365,6470,observe and evaluate childrens performance behavior social development and physical health,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,2,-1.0281336507360677,3.4
5367,6468,read books to entire classes or to small groups,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5368,6479,establish clear objectives for all lessons units and projects and communicate those objectives to children,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5369,6481,arrange indoor and outdoor space to facilitate creative play motorskill activities and safety,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5370,6475,teach proper eating habits and personal hygiene,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5371,6480,demonstrate activities to children,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5372,6484,plan and conduct activities for a balanced program of instruction demonstration and work time that provides students with opportunities to observe question and investigate,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5374,6497,prepare and implement remedial programs for students requiring extra help,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5375,6487,confer with other staff members to plan and schedule lessons promoting learning following approved curricula,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5377,6485,organize and label materials and display students work in a manner appropriate for their ages and perceptual skills,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5379,6489,collaborate with other teachers and administrators in the development evaluation and revision of preschool programs,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5380,6492,plan and supervise class projects field trips visits by guests or other experiential activities and guide students in learning from those activities,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5381,6491,meet with other professionals to discuss individual students needs and progress,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5383,6488,supervise evaluate and plan assignments for teacher assistants and volunteers,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5384,6496,administer tests to help determine childrens developmental levels needs and potential,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5386,6494,provide students with disabilities with assistive devices supportive technology and assistance accessing facilities such as restrooms,"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5388,6499,establish and enforce rules for behavior and policies and procedures to maintain order among students,"Kindergarten Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5389,6507,prepare children for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks,"Kindergarten Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5390,6501,instruct students individually and in groups adapting teaching methods to meet students varying needs and interests,"Kindergarten Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5391,6498,teach basic skills such as color shape number and letter recognition personal hygiene and social skills,"Kindergarten Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5392,6503,demonstrate activities to children,"Kindergarten Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,4,-1.0195857604222283,3.6
5393,6502,read books to entire classes or to small groups,"Kindergarten Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,3,3,4,-1.0195857604222283,3.6
5394,6513,guide and counsel students with adjustment or academic problems or special academic interests,"Kindergarten Teachers, Except Special Education",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
